m_k_n,Total Size,Avg DDR BW (GB/s),Max DDR BW (GB/s),Min DDR BW (GB/s)
32_32_32,64,4.40995,4.62302,4.00881
32_32_64,64,6.79576,7.39517,6.02685
32_32_128,64,7.15629,7.66234,5.92871
32_32_256,64,9.49915,10.474,6.80611
32_32_512,64,11.7405,13.7076,7.47019
32_64_32,64,4.92197,5.22782,4.51257
32_64_64,64,6.73007,7.76493,5.76394
32_64_128,64,9.5973,10.6217,7.82333
32_64_256,64,13.0464,15.1563,9.44731
32_64_512,64,16.5603,20.4608,10.7436
32_128_32,64,4.88014,5.42382,4.20642
32_128_64,64,8.45679,9.54084,6.33749
32_128_128,64,12.2314,14.5733,7.94858
32_128_256,64,16.5102,19.7815,11.1989
32_128_512,64,18.2571,23.2562,10.7701
32_256_32,64,4.985,5.76394,3.99172
32_256_64,64,8.36741,10.8665,6.67101
32_256_128,64,13.9488,16.4251,9.81519
32_256_256,64,17.7722,23.0112,11.1722
32_256_512,64,18.0966,23.215,12.4997
32_512_32,64,4.83366,5.77206,4.12124
32_512_64,64,8.36033,10.8991,6.3584
32_512_128,64,13.5123,17.333,8.26953
32_512_256,64,16.8379,21.5225,10.7436
32_512_512,64,17.0823,21.7439,13.1651
