m_k_n,Total Size,Avg DDR BW (GB/s),Max DDR BW (GB/s),Min DDR BW (GB/s)
32_32_64,256,11.1381,12.6475,8.18203
32_32_128,256,14.3771,15.9416,12.2086
32_32_256,256,14.4707,15.6383,13.193
32_32_512,256,16.9176,19.0664,14.9285
32_64_32,256,8.79691,9.65682,6.81
32_64_64,256,15.0218,16.3615,13.435
32_64_128,256,20.3327,22.2194,17.0978
32_64_256,256,24.6771,26.9031,21.5384
32_64_512,256,28.2507,30.2183,24.4059
32_128_32,256,9.63459,10.3622,8.40178
32_128_64,256,18.2858,20.3212,15.2338
32_128_128,256,18.3564,22.9548,16.4148
32_128_256,256,24.9982,28.4537,22.5753
32_128_512,256,29.5258,32.1334,27.1371
32_256_32,256,9.3233,9.95005,8.35972
32_256_64,256,16.7478,18.843,13.9475
32_256_128,256,23.0295,25.575,21.1219
32_256_256,256,26.88,28.9246,24.2793
32_256_512,256,30.2128,32.912,26.5006
32_512_32,256,8.47372,9.49453,7.39246
32_512_64,256,15.2669,19.1934,13.1684
32_512_128,256,22.4227,25.2231,20.5829
32_512_256,256,29.3094,31.5836,26.5274
32_512_512,256,32.8473,34.8179,29.3916
