m_k_n,Total Size,Avg DDR BW (GB/s),Max DDR BW (GB/s),Min DDR BW (GB/s)
32_32_32,256,5.04667,5.81483,4.2947
32_32_64,256,8.27985,9.40427,7.40394
32_32_128,256,11.7298,12.7347,10.9354
32_32_256,256,13.535,14.6769,12.8
32_32_512,256,15.504,16.6462,14.5401
32_64_32,256,6.24527,6.87104,5.77944
32_64_64,256,10.1348,11.8435,9.29325
32_64_128,256,17.178,18.8946,15.2418
32_64_256,256,22.9161,25.0568,20.3181
32_64_512,256,27.9907,29.3587,25.605
32_128_32,256,7.87716,8.54112,7.19642
32_128_64,256,13.5889,14.9056,12.556
32_128_128,256,16.6262,17.6778,15.8856
32_128_256,256,28.4335,30.4571,25.2159
32_128_512,256,38.1631,39.1845,33.8731
32_256_32,256,7.65388,8.22619,7.28522
32_256_64,256,13.8674,15.8347,12.4842
32_256_128,256,22.9828,24.6306,20.5329
32_256_256,256,32.8106,34.3886,30.1246
32_256_512,256,42.3519,44.2661,36.5714
32_512_32,256,7.47284,8.14441,6.79147
32_512_64,256,13.9591,15.5051,12.9021
32_512_128,256,24.9111,26.4685,21.6451
32_512_256,256,38.8218,40.4294,34.5017
32_512_512,256,49.9968,51.0504,43.5238
