M,K,N,It1
256,256,256,
256,256,512,
256,256,768,
256,256,1024,
256,256,1280,
256,256,1536,
256,256,1792,
256,256,2048,
256,256,2304,
256,256,2560,
256,256,2816,
256,256,3072,
256,256,3328,
256,256,3584,
256,256,3840,
256,256,4096,
256,512,256,
256,512,512,
256,512,768,
256,512,1024,
256,512,1280,
256,512,1536,
256,512,1792,
256,512,2048,
256,512,2304,
256,512,2560,
256,512,2816,
256,512,3072,
256,512,3328,
256,512,3584,
256,512,3840,
256,512,4096,
256,768,256,
256,768,512,
256,768,768,
256,768,1024,
256,768,1280,
256,768,1536,
256,768,1792,
256,768,2048,
256,768,2304,
256,768,2560,
256,768,2816,
256,768,3072,
256,768,3328,
256,768,3584,
256,768,3840,
256,768,4096,
256,1024,256,
256,1024,512,
256,1024,768,
256,1024,1024,
256,1024,1280,
256,1024,1536,
256,1024,1792,
256,1024,2048,
256,1024,2304,
256,1024,2560,
256,1024,2816,
256,1024,3072,
256,1024,3328,
256,1024,3584,
256,1024,3840,
256,1024,4096,
256,1280,256,
256,1280,512,
256,1280,768,
256,1280,1024,
256,1280,1280,
256,1280,1536,
256,1280,1792,
256,1280,2048,
256,1280,2304,
256,1280,2560,
256,1280,2816,
256,1280,3072,
256,1280,3328,
256,1280,3584,
256,1280,3840,
256,1280,4096,
256,1536,256,
256,1536,512,
256,1536,768,
256,1536,1024,
256,1536,1280,
256,1536,1536,
256,1536,1792,
256,1536,2048,
256,1536,2304,
256,1536,2560,
256,1536,2816,
256,1536,3072,
256,1536,3328,
256,1536,3584,
256,1536,3840,
256,1536,4096,
256,1792,256,
256,1792,512,
256,1792,768,
256,1792,1024,
256,1792,1280,
256,1792,1536,
256,1792,1792,
256,1792,2048,
256,1792,2304,
256,1792,2560,
256,1792,2816,
256,1792,3072,
256,1792,3328,
256,1792,3584,
256,1792,3840,
256,1792,4096,
256,2048,256,
256,2048,512,
256,2048,768,
256,2048,1024,
256,2048,1280,
256,2048,1536,
256,2048,1792,
256,2048,2048,
256,2048,2304,
256,2048,2560,
256,2048,2816,
256,2048,3072,
256,2048,3328,
256,2048,3584,
256,2048,3840,
256,2048,4096,
256,2304,256,
256,2304,512,
256,2304,768,
256,2304,1024,
256,2304,1280,
256,2304,1536,
256,2304,1792,
256,2304,2048,
256,2304,2304,
256,2304,2560,
256,2304,2816,
256,2304,3072,
256,2304,3328,
256,2304,3584,
256,2304,3840,
256,2304,4096,
256,2560,256,
256,2560,512,
256,2560,768,
256,2560,1024,
256,2560,1280,
256,2560,1536,
256,2560,1792,
256,2560,2048,
256,2560,2304,
256,2560,2560,
256,2560,2816,
256,2560,3072,
256,2560,3328,
256,2560,3584,
256,2560,3840,
256,2560,4096,
256,2816,256,
256,2816,512,
256,2816,768,
256,2816,1024,
256,2816,1280,
256,2816,1536,
256,2816,1792,
256,2816,2048,
256,2816,2304,
256,2816,2560,
256,2816,2816,
256,2816,3072,
256,2816,3328,
256,2816,3584,
256,2816,3840,
256,2816,4096,
256,3072,256,
256,3072,512,
256,3072,768,
256,3072,1024,
256,3072,1280,
256,3072,1536,
256,3072,1792,
256,3072,2048,
256,3072,2304,
256,3072,2560,
256,3072,2816,
256,3072,3072,
256,3072,3328,
256,3072,3584,
256,3072,3840,
256,3072,4096,
256,3328,256,
256,3328,512,
256,3328,768,
256,3328,1024,
256,3328,1280,
256,3328,1536,
256,3328,1792,
256,3328,2048,
256,3328,2304,
256,3328,2560,
256,3328,2816,
256,3328,3072,
256,3328,3328,
256,3328,3584,
256,3328,3840,
256,3328,4096,
256,3584,256,
256,3584,512,
256,3584,768,
256,3584,1024,
256,3584,1280,
256,3584,1536,
256,3584,1792,
256,3584,2048,
256,3584,2304,
256,3584,2560,
256,3584,2816,
256,3584,3072,
256,3584,3328,
256,3584,3584,
256,3584,3840,
256,3584,4096,
256,3840,256,
256,3840,512,
256,3840,768,
256,3840,1024,
256,3840,1280,
256,3840,1536,
256,3840,1792,
256,3840,2048,
256,3840,2304,
256,3840,2560,
256,3840,2816,
256,3840,3072,
256,3840,3328,
256,3840,3584,
256,3840,3840,
256,3840,4096,
256,4096,256,
256,4096,512,
256,4096,768,
256,4096,1024,
256,4096,1280,
256,4096,1536,
256,4096,1792,
256,4096,2048,
256,4096,2304,
256,4096,2560,
256,4096,2816,
256,4096,3072,
256,4096,3328,
256,4096,3584,
256,4096,3840,
256,4096,4096,
512,256,256,
512,256,512,
512,256,768,
512,256,1024,
512,256,1280,
512,256,1536,
512,256,1792,
512,256,2048,
512,256,2304,
512,256,2560,
512,256,2816,
512,256,3072,
512,256,3328,
512,256,3584,
512,256,3840,
512,256,4096,
512,512,256,
512,512,512,
512,512,768,
512,512,1024,
512,512,1280,
512,512,1536,
512,512,1792,
512,512,2048,
512,512,2304,
512,512,2560,
512,512,2816,
512,512,3072,
512,512,3328,
512,512,3584,
512,512,3840,
512,512,4096,
512,768,256,
512,768,512,
512,768,768,
512,768,1024,
512,768,1280,
512,768,1536,
512,768,1792,
512,768,2048,
512,768,2304,
512,768,2560,
512,768,2816,
512,768,3072,
512,768,3328,
512,768,3584,
512,768,3840,
512,768,4096,
512,1024,256,
512,1024,512,
512,1024,768,
512,1024,1024,
512,1024,1280,
512,1024,1536,
512,1024,1792,
512,1024,2048,
512,1024,2304,
512,1024,2560,
512,1024,2816,
512,1024,3072,
512,1024,3328,
512,1024,3584,
512,1024,3840,
512,1024,4096,
512,1280,256,
512,1280,512,
512,1280,768,
512,1280,1024,
512,1280,1280,
512,1280,1536,
512,1280,1792,
512,1280,2048,
512,1280,2304,
512,1280,2560,
512,1280,2816,
512,1280,3072,
512,1280,3328,
512,1280,3584,
512,1280,3840,
512,1280,4096,
512,1536,256,
512,1536,512,
512,1536,768,
512,1536,1024,
512,1536,1280,
512,1536,1536,
512,1536,1792,
512,1536,2048,
512,1536,2304,
512,1536,2560,
512,1536,2816,
512,1536,3072,
512,1536,3328,
512,1536,3584,
