M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
320_160_384,0.0196608,83.47826086956522,99.40,44.79,178.73
320_160_3456,0.1769472,103.47305389221557,339.39,109.02,1123.47
320_160_4992,0.2555904,104.43514644351464,265.31,143.75,914.46
320_160_6528,0.3342336,104.95176848874598,272.54,190.34,1025.26
320_800_384,0.098304,143.28358208955223,385.29,86.65,777.11
320_800_1920,0.49152,204.25531914893617,365.90,268.52,1588.11
320_800_3456,0.884736,214.39205955334987,614.50,466.51,2116.59
320_800_4992,1.277952,218.56392294220666,813.51,630.78,2247.94
320_800_6528,1.671168,220.83897158322057,1032.82,848.31,2210.54
320_1440_384,0.1769472,155.67567567567568,295.03,100.82,953.89
320_1440_1920,0.884736,230.4,571.41,476.56,2029.21
320_1440_3456,1.5925248,243.38028169014083,983.59,770.64,2288.11
320_1440_4992,2.3003136,248.77076411960132,1405.41,1143.30,2386.22
320_1440_6528,3.0081024,251.7223650385604,1787.74,1384.31,2333.67
320_2080_384,0.2555904,161.03225806451613,305.10,144.89,1161.77
320_2080_1920,1.277952,242.33009708737865,826.94,630.46,2162.36
320_2080_3456,2.3003136,256.7314285714286,1411.75,1062.26,2417.57
320_2080_4992,3.3226752,262.7368421052632,2060.34,1413.90,2585.74
320_2080_6528,4.3450368,266.0313479623824,2335.02,1815.73,2607.28
320_2720_384,0.3342336,164.02010050251258,411.87,200.32,1300.52
320_2720_1920,1.671168,249.16030534351145,1070.98,874.27,2332.40
320_2720_3456,3.0081024,264.4104410441044,1784.61,1317.90,2471.74
320_2720_4992,4.3450368,270.78493937460115,2319.16,1725.59,2618.28
320_2720_6528,5.6819712,274.2857142857143,2030.07,1545.48,2631.15
320_3360_384,0.4128768,165.92592592592592,437.52,234.86,1495.93
320_3360_1920,2.064384,253.58490566037736,1301.67,1027.82,2351.23
320_3360_3456,3.7158912,269.39866369710467,2148.93,1420.18,2519.25
320_3360_4992,5.3673984,276.01895734597156,2067.98,1443.82,2609.33
320_3360_6528,7.0189056,279.6572827417381,2268.01,1666.01,2639.18
320_4000_384,0.49152,167.24738675958187,378.49,278.25,1526.46
320_4000_1920,2.4576,256.6844919786096,1508,1199,2450
320_4000_3456,4.42368,272.89955780164246,2338.89,1508.50,2596.06
320_4000_4992,6.38976,279.6952039444195,2188,1602,2625
320_4000_6528,8.35584,283.4317471344217,2402.46,1988.78,2695.87
320_4640_384,0.5701632,168.21752265861028,432.22,314.23,1733.02
320_4640_1920,2.850816,258.9767441860465,1717,1450,2408
320_4640_3456,5.1314688,275.4920285871358,2094.95,1582.08,2607.45
320_4640_4992,7.4121216,282.41904018728053,2364,1866,2648
320_4640_6528,9.6927744,286.22921076504383,2392.61,1977.92,2695.81
320_5280_384,0.6488064,168.96,468.34,357.47,2076.18
320_5280_1920,3.244032,260.74074074074076,1934,1465,2452
320_5280_3456,5.8392576,277.4890510948905,2164,1665,2645
320_5280_4992,8.4344832,284.5181347150259,2407,1888,2687
320_5280_6528,11.0297088,288.3855421686747,2445,2024,2682
320_5920_384,0.7274496,169.54653937947495,508.49,395.68,1839.32
320_5920_1920,3.637248,262.140221402214,2142,1835,2550
320_5920_3456,6.5470464,279.0746398952422,2295,1670,2671
320_5920_4992,9.4568448,286.1853114347691,2430,1782,2672
320_5920_6528,12.3666432,290.0984866682681,2474,1934,2691
320_6560_384,0.8060928,170.02159827213822,558.41,436.67,1992.81
320_6560_1920,4.030464,263.27759197324417,2350,1866,2595
320_6560_3456,7.2548352,280.3640680648991,2350,1885,2707
320_6560_4992,10.4792064,287.54144422590616,2425,1927,2705
320_6560_6528,13.7035776,291.4920496623829,2517,2124,2737
320_7200_384,0.884736,170.41420118343194,628.07,484.39,2017.64
320_7200_1920,4.42368,264.2201834862385,2360,1661,2604
320_7200_3456,7.962624,281.43322475570034,2366,1963,2696
320_7200_4992,11.501568,288.66615265998456,2430,2011,2689
320_7200_6528,15.040512,292.64793783622235,2520,2155,2718
320_7840_384,0.9633792,170.74410163339383,733.63,519.76,2065.12
320_7840_1920,4.816896,265.01408450704224,2142,1490,2626
320_7840_3456,8.6704128,282.3341113704568,2453,1938,2683
320_7840_4992,12.5239296,289.6140184702818,2504,2246,2720
320_7840_6528,16.3774464,293.6221773453277,2558,2256,2732
1600_160_1920,0.49152,135.2112676056338,389.07,277.23,1400.34
1600_160_3456,0.884736,139.5799676898223,551.72,454.64,1529.36
1600_160_4992,1.277952,141.33635334088336,795.34,591.78,1504.36
1600_160_6528,1.671168,142.28421970357454,1016.33,818.40,1355.92
1600_800_384,0.49152,223.25581395348837,395.88,270.14,1834.03
1600_800_1920,2.4576,417.39130434782606,1555.61,1234.04,2463.76
1600_800_3456,4.42368,462.03208556149735,2164.94,1492.72,2588.46
1600_800_4992,6.38976,481.8532818532818,2232.25,1709.63,2629.53
1600_800_6528,8.35584,493.0513595166163,2432.34,1999.00,2670.02
1600_1440_384,0.884736,254.86725663716814,600.37,482.41,1959.55
1600_1440_1920,4.42368,543.3962264150944,2284.30,1473.33,2616.79
1600_1440_3456,7.962624,621.5827338129496,2383.64,1899.71,2683.73
1600_1440_4992,11.501568,657.9964850615114,2490.68,2120.69,2724.52
1600_1440_6528,15.040512,679.0568654646324,2545.85,2147.26,2759.73
1600_2080_384,1.277952,269.5464362850972,805.85,638.50,2271.91
1600_2080_1920,6.38976,614.7783251231527,2230.25,1641.14,2634.95
1600_2080_3456,11.501568,716.7836630504148,2471.72,2018.88,2721.62
1600_2080_4992,16.613376,765.6441717791411,2560.42,2200.59,2767.74
1600_2080_6528,21.725184,794.3092474728566,2643.38,2518.28,2781.89
1600_2720_384,1.671168,278.0238500851789,1085.91,875.64,2306.65
1600_2720_1920,8.35584,660.7287449392712,2475.84,2042.74,2720.00
1600_2720_3456,15.040512,780.031864046734,2547.56,2154.80,2755.68
1600_2720_4992,21.725184,838.2457526669301,2634.06,2453.85,2770.36
1600_2720_6528,28.409856,872.7272727272727,2684.58,2554.27,2785.55
1600_3360_384,2.064384,283.54430379746833,1269.92,1079.98,2392.10
1600_3360_1920,10.32192,692.7835051546392,2441.24,1851.63,2723.46
1600_3360_3456,18.579456,825.1023192360163,2591.75,2395.96,2762.54
1600_3360_4992,26.836992,890.519877675841,2665.10,2443.06,2779.02
1600_3360_6528,35.094528,929.5362082994304,2712.78,2594.69,2805.43
1600_4000_384,2.4576,287.4251497005988,1497,1101,2451
1600_4000_1920,12.288,716.4179104477612,2485.06,2005.55,2670.43
1600_4000_3456,22.1184,858.8469184890656,2631.88,2364.97,2784.64
1600_4000_4992,31.9488,929.9552906110283,2695.60,2563.80,2802.53
1600_4000_6528,41.7792,972.5864123957092,2731,2647,2812
1600_4640_384,2.850816,290.3023983315954,1746,1306,2491
1600_4640_1920,14.25408,734.5646437994723,2563,2185,2764
1600_4640_3456,25.657344,885.058283292123,2668,2356,2799
1600_4640_4992,37.060608,960.7645341120254,2715,2530,2796
1600_4640_6528,48.463872,1006.336381033383,2736,2594,2805
1600_5280_384,3.244032,292.5207756232687,1979,1643,2438
1600_5280_1920,16.22016,748.936170212766,2577,2304,2762
1600_5280_3456,29.196288,906.0057197330791,2675,2448,2788
1600_5280_4992,42.172416,985.4989231873654,2726,2604,2800
1600_5280_6528,55.148544,1033.5060449050086,2755,2635,2814
1600_5920_384,3.637248,294.2833471416736,2162,1882,2604
1600_5920_1920,18.18624,760.5995717344754,2617,2473,2772
1600_5920_3456,32.735232,923.1302339012417,2704,2526,2810
1600_5920_4992,47.284224,1005.7939446743629,2742,2660,2806
1600_5920_6528,61.833216,1055.8489246371744,2774,2645,2825
1600_6560_384,4.030464,295.717505634861,2325,1866,2624
