M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
320_160_384,0.0196608,83.47826086956522,98.96,37.31,162.49
320_160_3456,0.1769472,103.47305389221557,331.39,100.22,884.74
320_160_4992,0.2555904,104.43514644351464,268.89,140.90,960.87
320_160_6528,0.3342336,104.95176848874598,276.97,189.64,1134.92
320_800_384,0.098304,143.28358208955223,295.07,60.57,685.05
320_800_1920,0.49152,204.25531914893617,371.46,271.11,1598.44
320_800_3456,0.884736,214.39205955334987,591.24,468.98,2052.75
320_800_4992,1.277952,218.56392294220666,788.57,677.60,2230.28
320_800_6528,1.671168,220.83897158322057,1015.73,885.62,1675.36
320_1440_384,0.1769472,155.67567567567568,332.97,99.66,1022.82
320_1440_1920,0.884736,230.4,602.16,475.41,2059.92
320_1440_3456,1.5925248,243.38028169014083,994.39,776.84,2192.05
320_1440_4992,2.3003136,248.77076411960132,1466.04,1203.41,2346.06
320_1440_6528,3.0081024,251.7223650385604,1810.69,1482.55,2370.45
320_2080_384,0.2555904,161.03225806451613,446.54,135.02,1211.33
320_2080_1920,1.277952,242.33009708737865,833.55,671.19,2166.02
320_2080_3456,2.3003136,256.7314285714286,1413.28,1157.10,2381.28
320_2080_4992,3.3226752,262.7368421052632,1961.51,1630.36,2496.38
320_2080_6528,4.3450368,266.0313479623824,2277.42,1447.86,2558.16
320_2720_384,0.3342336,164.02010050251258,490.14,195.69,1495.45
320_2720_1920,1.671168,249.16030534351145,1051.59,748.56,2305.06
320_2720_3456,3.0081024,264.4104410441044,1800.70,1447.94,2513.03
320_2720_4992,4.3450368,270.78493937460115,2361.68,1651.79,2627.78
320_2720_6528,5.6819712,274.2857142857143,2140.99,1535.46,2632.98
320_3360_384,0.4128768,165.92592592592592,381.55,222.82,1540.59
320_3360_1920,2.064384,253.58490566037736,1296,952,2391
320_3360_3456,3.7158912,269.39866369710467,2159,1669,2536
320_3360_4992,5.3673984,276.01895734597156,2032,1483,2602
320_3360_6528,7.0189056,279.6572827417381,2273,1686,2636
320_4000_384,0.49152,167.24738675958187,395.99,278.72,1630.25
320_4000_1920,2.4576,256.6844919786096,1547,1215,2437
320_4000_3456,4.42368,272.89955780164246,2260,1433,2565
320_4000_4992,6.38976,279.6952039444195,2210,1731,2618
320_4000_6528,8.35584,283.4317471344217,2380,1912,2667
320_4640_384,0.5701632,168.21752265861028,439.49,307.45,1781.76
320_4640_1920,2.850816,258.9767441860465,1729,1364,2325
320_4640_3456,5.1314688,275.4920285871358,1964,1529,2517
320_4640_4992,7.4121216,282.41904018728053,2268,1885,2576
320_4640_6528,9.6927744,286.22921076504383,2304,1842,2575
320_5280_384,0.6488064,168.96,432.50,352.04,1646.72
320_5280_1920,3.244032,260.74074074074076,1918,1567,2284
320_5280_3456,5.8392576,277.4890510948905,2047,1539,2416
320_5280_4992,8.4344832,284.5181347150259,2183,1904,2507
320_5280_6528,11.0297088,288.3855421686747,2241,1840,2670
320_5920_384,0.7274496,169.54653937947495,500.99,391.73,1668.46
320_6560_384,0.8060928,170.02159827213822,566.07,430.72,1838.30
320_7200_384,0.884736,170.41420118343194,556.34,469.61,1719.60
320_7840_384,0.9633792,170.74410163339383,617.81,504.65,1829.78
1600_160_1920,0.49152,135.2112676056338,378.64,272.01,1465.04
1600_160_3456,0.884736,139.5799676898223,564.15,444.48,1706.34
1600_160_4992,1.277952,141.33635334088336,809.64,649.20,1659.68
1600_160_6528,1.671168,142.28421970357454,1033.99,849.17,1636.80
1600_800_384,0.49152,223.25581395348837,381.98,278.56,1603.65
1600_800_1920,2.4576,417.39130434782606,1499.32,1068.99,2382.55
1600_800_3456,4.42368,462.03208556149735,2207.93,1483.96,2637.07
1600_800_4992,6.38976,481.8532818532818,2248.20,1767.32,2649.70
1600_800_6528,8.35584,493.0513595166163,2446.76,1937.14,2674.72
1600_1440_384,0.884736,254.86725663716814,591.41,479.79,2036.22
1600_1440_1920,4.42368,543.3962264150944,2102.62,1333.04,2524.93
1600_1440_3456,7.962624,621.5827338129496,2366.88,1858.47,2614.98
1600_1440_4992,11.501568,657.9964850615114,2418.63,2023.50,2619.95
1600_1440_6528,15.040512,679.0568654646324,2481.86,2130.69,2656.86
1600_2080_384,1.277952,269.5464362850972,807.55,637.86,2192.03
1600_2080_1920,6.38976,614.7783251231527,2190.92,1773.46,2589.04
1600_2080_3456,11.501568,716.7836630504148,2457.27,1978.93,2700.85
1600_2080_4992,16.613376,765.6441717791411,2545.52,2246.26,2661.76
1600_2080_6528,21.725184,794.3092474728566,2618.39,2405.22,2724.16
1600_2720_384,1.671168,278.0238500851789,1043,835,2367
1600_2720_1920,8.35584,660.7287449392712,2434,2070,2709
1600_2720_3456,15.040512,780.031864046734,2579,2370,2763
1600_2720_4992,21.725184,838.2457526669301,2649,2444,2782
1600_2720_6528,28.409856,872.7272727272727,2691.95,2506.05,2792.95
1600_3360_384,2.064384,283.54430379746833,1279,1033,2388
1600_3360_1920,10.32192,692.7835051546392,2474,2200,2697
1600_3360_3456,18.579456,825.1023192360163,2613,2363,2780
1600_3360_4992,26.836992,890.519877675841,2667,2463,2770
1600_3360_6528,35.094528,929.5362082994304,2702,2561,2775
1600_4000_384,2.4576,287.4251497005988,1513,1061,2433
1600_4000_1920,12.288,716.4179104477612,2496,2045,2743
1600_4000_3456,22.1184,858.8469184890656,2625,2475,2748
1600_4000_4992,31.9488,929.9552906110283,2668,2451,2764
1600_4000_6528,41.7792,972.5864123957092,2695,2516,2770
1600_4640_384,2.850816,290.3023983315954,1730,1370,2388
1600_4640_1920,14.25408,734.5646437994723,2437,2134,2683
1600_4640_3456,25.657344,885.058283292123,2593,2363,2696
1600_4640_4992,37.060608,960.7645341120254,2667,2527,2754
1600_4640_6528,48.463872,1006.336381033383,2701,2546,2760
1600_5280_384,3.244032,292.5207756232687,1953,1664,2383
1600_5280_1920,16.22016,748.936170212766,2404,2108,2638
1600_5280_3456,29.196288,906.0057197330791,2573,2376,2699
1600_5280_4992,42.172416,985.4989231873654,2640,2527,2755
1600_5280_6528,55.148544,1033.5060449050086,2684,2537,2805
1600_5920_384,3.637248,294.2833471416736,2018,1518,2260
1600_6560_384,4.030464,295.717505634861,2016,1367,2341
1600_7200_384,4.42368,296.9072164948454,1888,1318,2247
1600_7840_384,4.816896,297.9100696643445,1819,1304,2435
2880_160_384,0.1769472,108.67924528301887,285.98,99.55,751.37
2880_160_1920,0.884736,140.4878048780488,571.86,480.05,1699.78
2880_160_3456,1.5925248,145.21008403361344,966.84,744.17,1780.35
2880_160_4992,2.3003136,147.11198428290766,1381.71,1105.92,1723.08
2880_160_6528,3.0081024,148.1391830559758,1596.83,1298.27,2041.47
2880_800_384,0.884736,238.01652892561984,602.61,477.08,2040.91
2880_800_1920,4.42368,472.1311475409836,2232.54,1500.57,2611.38
2880_800_3456,7.962624,530.0613496932515,2425.81,2084.73,2681.92
2880_800_4992,11.501568,556.3150074294205,2541.62,2059.92,2727.75
2880_800_6528,15.040512,571.2952158693115,2580.19,2180.73,2737.87
2880_1440_384,1.5925248,274.2857142857143,1032.74,797.86,2291.40
2880_1440_1920,7.962624,640.0,2393.47,1838.52,2640.57
2880_1440_3456,14.3327232,751.304347826087,2510.24,2137.62,2665.07
2880_1440_4992,20.7028224,805.1612903225806,2576.42,2395.88,2678.07
2880_1440_6528,27.0729216,836.9230769230769,2610.69,2500.39,2699.46
2880_2080_384,2.3003136,291.36186770428014,1407.62,1123.75,2270.79
2880_2080_1920,11.501568,741.3861386138614,2466.34,2055.69,2655.64
2880_2080_3456,20.7028224,894.9800796812749,2602.40,2475.53,2722.80
2880_2080_4992,29.9040768,972.4675324675325,2649.71,2439.75,2739.35
2880_2080_6528,39.1053312,1019.1833466773419,2694.00,2596.72,2763.73
2880_2720_384,3.0081024,301.2923076923077,1822.16,1459.54,2495.32
2880_2720_1920,15.040512,809.2561983471074,2574,2341,2732
2880_2720_3456,27.0729216,995.7966101694915,2674,2466,2792
2880_2720_4992,39.1053312,1092.6695278969958,2742,2605,2808
2880_2720_6528,51.1377408,1152.0,2763,2656,2825
2880_3360_384,3.7158912,307.78625954198475,2191.52,1831.84,2531.26
2880_3360_1920,18.579456,857.8723404255319,2612,2274,2777
