M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
320_352_384,0.04325376,175.26970954356847,214.23,99.43,408.05
320_352_3456,0.38928384,219.87275882012725,831.08,224.44,1749.59
320_352_4992,0.56229888,222.04609785685403,581.59,304.93,2158.54
320_352_6528,0.73531392,223.2141746969226,582.01,391.65,2414.82
320_1760_384,0.2162688,291.3103448275862,643.93,131.59,1456.36
320_1760_1920,1.081344,418.2178217821782,2767.53,630.15,3997.57
320_1760_3456,1.9464192,439.4913294797688,1269.92,992.82,4115.05
320_1760_4992,2.8114944,448.2612244897959,1792.32,1398.75,4612.79
320_1760_6528,3.6765696,453.0473186119874,2266.26,1781.72,4567.17
320_3168_384,0.38928384,314.44168734491313,614.46,222.96,1765.46
320_3168_1920,1.9464192,467.6014760147601,1465.29,1010.86,4145.73
320_3168_3456,3.50355456,494.3563068920676,2111.47,1770.81,3901.51
320_3168_4992,5.06068992,505.48020865296104,3044.86,2381.50,4429.49
320_3168_6528,6.61782528,511.5744478746141,3903.14,3346.56,4914.83
320_4576_384,0.56229888,324.34731246308326,1060.60,317.23,2510.26
320_4576_1920,2.8114944,489.84834968777875,1711.89,1323.68,4575.26
320_4576_3456,5.06068992,519.2896921298728,3066.35,2539.87,4870.73
320_4576_4992,7.30988544,531.5779283639883,4298.18,3347.02,5088.68
320_4576_6528,9.55908096,538.3218960844242,4235.18,2781.23,5224.97
320_5984_384,0.73531392,329.8484152503445,826.53,417.67,2708.34
320_5984_1920,3.6765696,502.50524842547236,2281.04,1913.39,4627.53
320_5984_3456,6.61782528,533.5358705522992,4016.06,3033.61,4988.94
320_5984_4992,9.55908096,546.5160119430947,4113.91,2995.17,5205.05
320_5984_6528,12.50033664,553.6468774094063,4397.50,3292.59,5248.93
320_7392_384,0.90832896,333.34836527621195,757.51,489.67,3164.91
320_7392_1920,4.5416448,510.6735751295337,2768.59,2189.80,4745.71
320_7392_3456,8.17496064,542.7534162757495,4556.82,3353.83,5170.75
320_7392_4992,11.80827648,556.1915786427435,4350.02,3297.94,5241.13
320_7392_6528,15.44159232,563.5788765556676,4690.08,3523.06,5199.19
1600_352_1920,1.081344,292.9264909847434,799.46,596.27,3171.10
1600_352_3456,1.9464192,303.2062529909076,1268.05,975.65,3675.96
1600_352_4992,2.8114944,307.35475204298666,1768.79,1403.29,4042.41
1600_352_6528,3.6765696,309.5973096490472,2277.18,1928.95,3348.42
1600_1760_384,1.081344,458.1344902386117,3707.80,3227.89,3882.74
1600_1760_1920,5.40672,876.3485477178423,3278.99,2835.20,4990.05
1600_1760_3456,9.732096,975.2693689071318,4088.76,2998.18,5205.72
1600_1760_4992,14.057472,1019.5321203119198,4648.96,3391.84,5297.71
1600_1760_6528,18.382848,1044.6319464649403,4951.26,4292.55,5411.49
1600_3168_384,1.9464192,518.0703188879804,1414.92,1025.78,3896.74
1600_3168_1920,9.732096,1125.399644760213,3955.62,3012.57,5115.42
1600_3168_3456,17.5177728,1293.9414567733152,4853.27,4027.07,5266.92
1600_3168_4992,25.3034496,1373.02883813969,5020.30,4203.58,5308.60
1600_3168_6528,33.0891264,1418.943485706758,5070.69,4807.02,5363.34
1600_4576_384,2.8114944,545.5195708325055,1675.38,1348.12,4410.19
1600_4576_1920,14.057472,1263.506672802577,4690.40,4025.05,5312.73
1600_4576_3456,25.3034496,1479.9305264418758,5194.83,4621.63,5501.95
1600_4576_4992,36.5494272,1584.3046739757647,5217.43,4673.24,5528.16
1600_4576_6528,47.7954048,1645.7529706286803,5317.84,4885.06,5571.53
1600_5984_384,3.6765696,561.2630920744099,2267.92,1779.13,4416.30
1600_5984_1920,18.382848,1351.2984569062853,4987.24,4130.98,5409.90
1600_5984_3456,33.0891264,1601.8242204927378,5198.13,4627.53,5557.00
1600_5984_4992,47.7954048,1724.8143084143232,5296.66,5001.87,5545.03
1600_5984_6528,62.5016832,1797.8968452679019,5397.43,4998.94,5576.52
1600_7392_384,4.5416448,571.4727483571704,2713.17,2256.16,4753.16
1600_7392_1920,22.708224,1412.0343839541547,5008.41,4469.68,5394.52
1600_7392_3456,40.8748032,1687.8853228466319,5236.76,4778.44,5465.64
1600_7392_4992,59.0413824,1825.0118697179755,5383.40,5125.79,5544.05
1600_7392_6528,77.2079616,1907.0339175961758,5423.52,5274.67,5580.22
2880_352_384,0.38928384,231.6636197440585,403.82,234.44,1622.02
2880_352_1920,1.9464192,305.34939759036143,1231.69,1020.40,3693.40
2880_352_3456,3.50355456,316.5362198168193,2112.64,1518.99,3856.42
2880_352_4992,5.06068992,321.0602221789125,3075.01,2503.43,4486.43
2880_352_6528,6.61782528,323.50803423937526,3301.43,2094.25,3822.02
2880_1760_384,1.9464192,489.26640926640925,1269.20,982.30,4128.14
2880_1760_1920,9.732096,997.7952755905512,4222.07,3039.85,5209.90
2880_1760_3456,17.5177728,1128.0712166172107,4939.04,4236.98,5455.55
2880_1760_4992,25.3034496,1187.714491708724,5113.99,4323.53,5521.15
2880_1760_6528,33.0891264,1221.9171866137267,5206.34,4408.06,5565.88
2880_3168_384,3.50355456,558.237885462555,2158.45,1662.42,4658.98
2880_3168_1920,17.5177728,1333.8947368421052,4906.25,4115.05,5237.79
2880_3168_3456,31.53199104,1577.4273858921163,5078.53,4743.79,5394.23
2880_3168_4992,45.54620928,1696.5602471678683,5154.00,4675.48,5425.40
2880_3168_6528,59.56042752,1767.2190319934373,5264.83,4961.92,5494.00
2880_4576_384,5.06068992,590.2400573271229,3122.04,2617.37,4866.05
2880_4576_1920,25.3034496,1532.4279069767442,5029.76,4322.05,5463.93
2880_4576_3456,45.54620928,1862.826988315115,5306.01,4731.58,5558.82
2880_4576_4992,65.78896896,2031.2700369913687,5424.86,5193.32,5615.07
2880_4576_6528,86.03172864,2133.398339300678,5491.25,5269.61,5635.88
2880_5984_384,6.61782528,608.7143260808137,3990.25,3329.72,4929.48
2880_5984_1920,33.0891264,1663.5057915057914,5206.18,4764.45,5516.69
2880_5984_3456,59.56042752,2060.159387950271,5380.50,4992.07,5583.35
2880_5984_4992,86.03172864,2268.1720255932614,5485.42,5267.19,5631.64
2880_5984_6528,112.50302976,2396.262513904338,5524.26,5372.64,5626.98
2880_7392_384,8.17496064,620.74177746676,4616.91,3512.34,5245.40
2880_7392_1920,40.8748032,1756.5148514851485,5248.13,4645.13,5516.17
2880_7392_3456,73.57464576,2204.739022369511,5427.84,5271.71,5596.73
2880_7392_4992,106.27448832,2444.6724613101546,5500.37,5374.59,5616.75
2880_7392_6528,138.97433088,2594.1303973851714,5521.93,5336.96,5611.95
4160_352_384,0.56229888,234.56642460486972,454.87,331.15,1938.96
4160_352_1920,2.8114944,310.4126625211984,1768.80,1325.55,4113.38
4160_352_3456,5.06068992,321.98058505440093,3084.55,2239.74,4112.71
4160_352_4992,7.30988544,326.6627007733492,3214.25,2193.84,4061.05
4160_352_6528,9.55908096,329.1970236625877,3178.58,2513.56,3885.81
4160_1760_384,2.8114944,502.3970722781336,1722.51,1393.55,4509.21
4160_1760_1920,14.057472,1053.9731285988485,4631.40,3447.99,5304.71
4160_1760_3456,25.3034496,1200.4080641243625,5098.38,4250.54,5515.14
4160_1760_4992,36.5494272,1268.175519630485,5297.62,4403.81,5543.67
4160_1760_6528,47.7954048,1307.2454838257947,5342.88,4987.26,5518.46
4160_3168_384,5.06068992,575.3964373035278,3025.20,2257.72,4581.88
4160_3168_1920,25.3034496,1436.2336530078467,4937.65,4208.82,5344.48
4160_3168_3456,45.54620928,1722.579295921924,5196.49,4636.45,5402.23
4160_3168_4992,65.78896896,1865.6398640996601,5288.36,4987.41,5452.43
4160_3168_6528,86.03172864,1951.440317747892,5339.62,5148.98,5462.68
4160_4576_384,7.30988544,609.4561598224195,4306.38,3312.14,5140.57
4160_4576_1920,36.5494272,1669.0577507598784,5235.21,4876.51,5521.90
4160_4576_3456,65.78896896,2068.6814566764338,5420.13,5128.54,5604.55
4160_4576_4992,95.02851072,2278.50622406639,5509.46,5198.35,5630.48
4160_4576_6528,124.26805248,2407.7998452411657,5537.86,5297.81,5642.52
4160_5984_384,9.55908096,629.1730134124149,4085.43,2767.54,5263.81
4160_5984_1920,47.7954048,1825.7461372970859,5298.78,4781.93,5539.25
4160_5984_3456,86.03172864,2314.919130410823,5476.65,5136.22,5624.28
4160_5984_4992,124.26805248,2580.879181642245,5547.48,5383.65,5658.84
4160_5984_6528,162.50437632,2748.0247277009125,5579.41,5464.35,5646.24
4160_7392_384,11.80827648,642.0310673125105,4214.01,3221.02,5215.67
4160_7392_1920,59.0413824,1938.3963691376703,5374.30,5070.32,5545.35
4160_7392_3456,106.27448832,2499.0652315249586,5493.23,5242.69,5598.85
4160_7392_4992,153.50759424,2811.880029261156,5546.76,5403.58,5618.67
4160_7392_6528,200.74070016,3011.442001935573,5573.39,5459.58,5626.69
5440_352_384,0.73531392,236.13285103584346,561.83,407.15,2410.87
5440_352_1920,3.6765696,313.1617967727867,2214.32,1693.49,4076.02
5440_352_3456,6.61782528,324.9394137462919,3677.28,3235.31,4283.38
5440_352_4992,9.55908096,329.70861441740544,3296.01,2651.62,4117.63
5440_352_6528,12.50033664,332.29060620083294,3478.65,2799.63,3923.52
5440_1760_384,3.6765696,509.63804116394607,2249.96,1913.88,4621.71
5440_1760_1920,18.382848,1086.3540090771558,4940.56,3957.56,5454.85
5440_1760_3456,33.0891264,1242.5918092674485,5228.90,4498.86,5532.37
5440_1760_4992,47.7954048,1315.350147949838,5335.34,4881.57,5562.46
5440_1760_6528,62.5016832,1357.429111531191,5397.43,5039.04,5589.74
5440_3168_384,6.61782528,584.9144718979093,3946.52,3378.17,4970.20
5440_3168_1920,33.0891264,1497.0396108408618,5094.50,4682.20,5381.22
5440_3168_3456,59.56042752,1810.7929391986552,5242.47,4897.26,5448.02
5440_3168_4992,86.03172864,1969.5562275828117,5338.06,5038.31,5479.73
5440_3168_6528,112.50302976,2065.4266538830298,5384.99,5151.12,5498.28
5440_4576_384,9.55908096,620.1448216302398,4205.78,2773.56,5236.42
5440_4576_1920,47.7954048,1751.7432914242822,5333.09,5129.91,5579.01
5440_4576_3456,86.03172864,2197.2267698825744,5474.41,5309.62,5610.89
5440_4576_4992,124.26805248,2435.4396034437777,5551.80,5302.67,5652.14
5440_4576_6528,162.50437632,2583.7365070578467,5589.06,5491.40,5666.02
5440_5984_384,12.50033664,640.5709188224799,4330.84,3286.54,5317.03
5440_5984_1920,62.5016832,1925.14745308311,5422.77,4985.38,5587.99
5440_5984_3456,112.50302976,2477.0870065159065,5529.68,5303.49,5641.23
5440_5984_4992,162.50437632,2784.0858932299434,5586.56,5428.12,5660.00
5440_5984_6528,212.50572288,2979.585062240664,5619.85,5527.38,5670.45
5440_7392_384,15.44159232,653.9039937556914,4786.60,3953.30,5328.36
5440_7392_1920,77.2079616,2050.8200734394127,5458.41,5017.25,5609.82
5440_7392_3456,138.97433088,2689.118468763003,5550.30,5353.92,5640.19
5440_7392_4992,200.74070016,3054.8024870272543,5572.11,5473.20,5636.73
5440_7392_6528,262.50706944,3291.787819253438,5588.35,5492.93,5626.32
6720_352_384,0.90832896,237.11307137129108,646.48,493.52,2485.17
6720_352_1920,4.5416448,314.88817891373805,2803.58,2428.04,4141.95
6720_352_3456,8.17496064,326.7984772196979,3501.47,2473.51,4384.53
6720_352_4992,11.80827648,331.6228108014839,3525.50,2606.40,4047.40
6720_352_6528,15.44159232,334.23498902852583,3458.32,2507.97,4727.26
6720_1760_384,4.5416448,514.2260869565217,2787.74,2067.67,4818.72
6720_1760_1920,22.708224,1107.4157303370787,4976.10,3950.63,5489.06
6720_1760_3456,40.8748032,1270.2243436754177,5304.75,4933.59,5591.25
6720_1760_4992,59.0413824,1346.353765323993,5448.46,5242.07,5612.57
6720_1760_6528,77.2079616,1390.4730290456432,5455.44,5150.80,5617.17
6720_3168_384,8.17496064,590.9660226515656,4468.61,3033.94,5101.38
6720_3168_1920,40.8748032,1537.3310225303294,5167.88,4526.06,5407.08
6720_3168_3456,73.57464576,1870.0773014757553,5330.48,4981.69,5456.24
6720_3168_4992,106.27448832,2039.8938616663718,5392.33,5164.35,5533.98
6720_3168_6528,138.97433088,2142.9131732272276,5417.65,5324.18,5495.34
6720_4576_384,11.80827648,626.9515576578046,4399.76,3184.11,5361.31
6720_4576_1920,59.0413824,1807.1650211565586,5406.14,5068.58,5621.92
6720_4576_3456,106.27448832,2285.128476121276,5526.93,5273.25,5653.95
6720_4576_4992,153.50759424,2543.9046988749174,5578.23,5494.58,5659.27
