M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
384_384_448,0.066060288,268.8,340.92,150.31,567.04
384_384_1344,0.198180864,336.0,719.21,172.63,1246.42
384_384_3136,0.462422016,361.84615384615387,1031.13,261.92,2277.94
384_384_4032,0.594542592,366.54545454545456,1280.10,332.61,2804.45
384_384_4928,0.726663168,369.6,758.20,428.33,2947.92
384_384_5824,0.858783744,371.74468085106383,729.92,471.73,2997.50
384_384_6720,0.99090432,373.3333333333333,743.70,540.44,3217.22
384_384_7616,1.123024896,374.55737704918033,875.18,588.74,3110.87
384_1920_448,0.33030144,373.3333333333333,556.40,208.06,2083.92
384_1920_1344,0.99090432,516.9230769230769,989.11,577.62,3825.89
384_1920_2240,1.6515072,560.0,1301.61,833.46,4524.68
384_1920_4032,2.97271296,592.9411764705883,1891.46,1459.36,4591.06
384_1920_4928,3.63331584,600.9756097560976,2231.10,1661.32,4631.38
384_1920_5824,4.29391872,606.6666666666666,2625.48,1892.84,4786.98
384_1920_6720,4.9545216,610.9090909090909,3116.48,2485.34,4966.94
384_1920_7616,5.61512448,614.1935483870968,3503.41,2699.58,5228.23
384_3456_448,0.594542592,390.19354838709677,1068.10,364.86,2771.76
384_3456_1344,1.783627776,549.8181818181819,1195.24,951.52,4442.41
384_3456_2240,2.97271296,598.8118811881188,1850.63,1506.70,4987.77
384_3456_4032,5.350883328,636.6315789473684,3293.30,2658.16,5334.88
384_3456_4928,6.539968512,645.9029126213592,3984.93,2832.99,5514.31
384_3456_5824,7.729053696,652.4813278008298,4639.04,3579.92,5922.65
384_3456_6720,8.91813888,657.3913043478261,5165.86,4525.83,5861.41
384_3456_7616,10.107224064,661.1961414790997,4895.59,3337.37,5957.69
384_4992_448,0.858783744,397.09090909090907,1125.71,501.63,3774.87
384_4992_1344,2.576351232,563.6129032258065,1672.82,1313.46,4856.46
384_4992_2240,4.29391872,615.2112676056338,2693.34,2039.38,5497.98
384_4992_4032,7.729053696,655.2,4497.14,3154.72,5864.23
384_4992_4928,9.446621184,665.0242214532872,5167.93,4379.52,5931.94
384_4992_5824,11.164188672,672.0,5587.75,4768.98,6046.14
384_4992_6720,12.88175616,677.2093023255813,4720.68,3486.27,5915.85
384_4992_7616,14.599323648,681.2477064220184,4980.28,3809.35,6094.48
384_6528_448,1.123024896,400.8421052631579,3963.66,1844.05,4159.35
384_6528_1344,3.369074688,571.2,2106.92,1680.34,5203.20
384_6528_2240,5.61512448,624.2622950819672,3543.10,2672.60,5691.97
384_6528_4032,10.107224064,665.4757281553398,5454.58,3896.39,6085.02
384_6528_4928,12.353273856,675.6129032258065,4723.17,3433.37,6042.20
384_6528_5824,14.599323648,682.8137931034482,5100.79,3955.92,6060.33
384_6528_6720,16.84537344,688.1927710843373,5227.55,4355.06,6071.50
384_6528_7616,19.091423232,692.3636363636364,5426.27,4277.71,6145.64
1152_384_448,0.198180864,350.60869565217394,823.76,170.19,1357.40
1152_384_1344,0.594542592,474.3529411764706,1384.30,365.65,2752.51
1152_384_2240,0.99090432,510.37974683544303,861.00,541.03,3520.09
1152_384_3136,1.387266048,527.5514018691589,1324.59,759.52,4376.23
